name,brand,price,original_price,special_price,savings,image_url,product_url,product_code,category,in_stock,on_special,scraped_at
Rajah Beef Madras Cook-In-Sauce Sachet 15g,,10.99,,10.99,,https://www.shoprite.co.za/medias/lqi-10641192EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyODY5fGltYWdlL3BuZ3xpbWFnZXMvaDJiL2hiZS8xMDM2MjYzODY2MzcxMC5wbmd8ZTdmNmM1ZTFjYzI1ZGIyZDdiZDdhNmZkZWUxOGU2YjJmMzM5ZTIwNGFmZDBlOTM4MTEyNDUyMTA1YzI0Mzc2Yg,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Cook-In-Sauces-and-Kits/Rajah-Beef-Madras-Cook-In-Sauce-Sachet-15g/p/10641192EA,,Food Cupboard,True,True,2025-10-06T02:10:32.476574
Rajah Chicken Tikka Cook-In-Sauce Sachet 15g,,10.99,,10.99,,https://www.shoprite.co.za/medias/lqi-10641194EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyOTA5fGltYWdlL3BuZ3xpbWFnZXMvaGZiL2gwNi8xMDA0NzI2MzkzMjQ0Ni5wbmd8Mjg4MWZkYWIwNmNmZjcyYWI2ZjUwZWY5ZDE5YWFlMmVmMDE0YzUyZWQ5YWNlNTMyZjkzMDQ4MjM1Mzg2ZWQ2Yg,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Cook-In-Sauces-and-Kits/Rajah-Chicken-Tikka-Cook-In-Sauce-Sachet-15g/p/10641194EA,,Food Cupboard,True,True,2025-10-06T02:10:32.477221
Royco Stew Mix For Beef 200g,,18.99,,18.99,,https://www.shoprite.co.za/medias/lqi-10498613EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjMzfGltYWdlL3BuZ3xpbWFnZXMvaGNiL2g2YS8xMDExMDY5Mzk5ODYyMi5wbmd8N2ZjOTk3NjM0NDhhOTQ5NThmZDA5NzdlMjExOTBiMDYxMDQ3ZmEzYTQzYTc0MjgwMmZlZTU4MTEwMGJmMzJmZg,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Soups-and-Stocks/Royco-Stew-Mix-For-Beef-200g/p/10498613EA,,Food Cupboard,True,True,2025-10-06T02:10:32.477569
Royco Stew Mix For Chicken 200g,,18.99,,18.99,,https://www.shoprite.co.za/medias/lqi-10498612EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNjM3fGltYWdlL3BuZ3xpbWFnZXMvaGI4L2gxYS8xMDExMDY5MjI5NDY4Ni5wbmd8ZmEwNWM4OGU2YjU5NDNiZTNiMDlhMzJiMGUzZjFmZTUwNTgyM2JjMGUyZWYzODc5NWE5MmJkMmUyM2Y4NjA3Yw,https://www.shoprite.co.za/All-Departments/Food/Food-Cupboard/Cooking-Ingredients/Soups-and-Stocks/Royco-Stew-Mix-For-Chicken-200g/p/10498612EA,,Food Cupboard,True,True,2025-10-06T02:10:32.477890
Blue Ribbon Toaster White Bread 700g,,18.99,,18.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10456482EA-en-shopriteGlobalProductCatalog-20250206095828.png?context=bWFzdGVyfGltYWdlc3wxMTM0fGltYWdlL3BuZ3xpbWFnZXMvaDMxL2hkNC8xMTU5MTYwNzQxODkxMC5wbmd8NzE1M2QwNmY4OGExZjg4NzcxZWJmMTMxOGE4MzdhNzYyYjMwNWIxMDhjN2VkMGY2Njk3Y2Y1MGQ2Y2Q1MWQ5MA,https://www.shoprite.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/White-Bread/Blue-Ribbon-Toaster-White-Bread-700g-/p/10456482EA,,Bakery,True,True,2025-10-06T02:10:32.478199
Darling Fresh Full Cream Milk Sachet 1L,,13.49,,13.49,,https://www.shoprite.co.za/medias/lqi-10124889EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjY0fGltYWdlL3BuZ3xpbWFnZXMvaGZmL2g3NS8xMDYxODk1OTk4NjcxOC5wbmd8OTEwNWI2NzNjMDY2Yzg4N2VhNzZhMjc5NWEyYzY4M2NmZmVhMmI4NWY0MWI3MTAxYmE2YzM1NWMzOTEwMDhkMg,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Milk%2C-Butter-and-Eggs/Milk/Darling-Fresh-Full-Cream-Milk-Sachet-1L/p/10124889EA,,Fresh Food,True,True,2025-10-06T02:10:32.478534
County Fair Frozen Chicken Mixed Portions With Brine Based Mixture 5kg,,239.99,,239.99,,https://www.shoprite.co.za/medias/lqi-10538316EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyODkwfGltYWdlL3BuZ3xpbWFnZXMvaGZjL2g1ZC85MTAyMTUwMTM5OTM0LnBuZ3xlMmYxYjE5NWJiYzg0ODQ4ZjllMWIyZDExMDdiNjE5YThkMDNlYWYzNTMxYzU5ZTQ0ZGM2MGYzMTUxNDQwOWI0,https://www.shoprite.co.za/All-Departments/Food/Frozen-Food/Frozen-Meat-and-Poultry/Frozen-Chicken/County-Fair-Frozen-Chicken-Mixed-Portions-With-Brine-Based-Mixture-5kg/p/10538316EA,,Frozen Food,True,True,2025-10-06T02:10:32.478848
Blue Ribbon Sliced White Bread 700g,,18.99,,18.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10136370EA-en-shopriteGlobalProductCatalog-20250206095817.png?context=bWFzdGVyfGltYWdlc3wxMTY3fGltYWdlL3BuZ3xpbWFnZXMvaGYyL2g3Yi8xMTU5MTU2NzQ0MTk1MC5wbmd8Yjg2NWVlMDQ1ZTRlOWRlYWU0MjM3ODY2MjY3OWU3ODA4NjIxMTJmZWRmZjVlNTdkN2I0Zjk4YjM5ZjRjZDcwNw,https://www.shoprite.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/White-Bread/Blue-Ribbon-Sliced-White-Bread-700g-/p/10136370EA,,Bakery,True,True,2025-10-06T02:10:32.479157
Farmbest Fresh Chicken Braai Pack 5 Piece Per kg,,56.99,,56.99,,https://www.shoprite.co.za/medias/lqi-10357568KG-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzU4fGltYWdlL3BuZ3xpbWFnZXMvaGEyL2hiMy8xMDM4MDkyODA5MDE0Mi5wbmd8N2M2MDZiMWY5YmVkODg1Y2FhODcwZDI5ZWUwYzAzM2Y2ZTIzZmNmOWIzMTY4MjY5YzJhMTUzODA2NmNmOTQwOA,https://www.shoprite.co.za/All-Departments/Food/Fresh-Food/Fresh-Meat-and-Poultry/Farmbest-Fresh-Chicken-Braai-Pack-5-Piece-Per-kg/p/10357568KG,,Fresh Food,True,True,2025-10-06T02:10:32.479492
SASKO More Slices White Bread 700g,,16.99,,16.99,,https://www.shoprite.co.za/medias/lqi-checkers300Wx300H-medias-10241927EA-en-shopriteGlobalProductCatalog-20250109031710.png?context=bWFzdGVyfGltYWdlc3wxNzQ5fGltYWdlL3BuZ3xpbWFnZXMvaGVlL2g5NC8xMTUxNzU0MjY5NDk0Mi5wbmd8ZWYzNDEzMzdlNTBlY2M4OTQxMmI4YTEyNWZlOTA3MDBmODkyNTRjNjg0NWYyZmFiNzU1NDJkMGZjYTA0ZTljNQ,https://www.shoprite.co.za/All-Departments/Food/Bakery/Bread-and-Rolls/White-Bread/SASKO-More-Slices-White-Bread-700g/p/10241927EA,,Bakery,True,True,2025-10-06T02:10:32.479811
